               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,             0.07336,             0.01462,           0.0059642,              0.5685,             0.45455,             0.39971,             0.11675,            0.087707,           0.0076898,           0.0046972,           0.0079594,           0.0079594,           0.0089594
                 100,            0.089331,            0.015584,            0.006098,              0.5685,             0.45455,             0.39971,             0.11675,            0.087707,           0.0076898,           0.0046972,             0.00802,             0.00802,             0.00802
                 101,            0.087348,            0.014496,           0.0060321,              0.5685,             0.45455,             0.39971,             0.11675,            0.087707,           0.0076898,           0.0046972,             0.00802,             0.00802,             0.00802
                 102,            0.085905,            0.013237,           0.0060767,              0.5685,             0.45455,             0.39971,             0.11675,            0.087707,           0.0076898,           0.0046972,           0.0080002,           0.0080002,           0.0080002
                 103,            0.084383,            0.015991,           0.0061476,             0.46283,                 0.5,             0.38998,             0.12694,            0.085116,           0.0075889,           0.0046561,           0.0079804,           0.0079804,           0.0079804
                 104,            0.085333,            0.013347,           0.0058893,             0.46283,                 0.5,             0.38998,             0.12694,            0.085116,           0.0075889,           0.0046561,           0.0079606,           0.0079606,           0.0079606
                 105,            0.081986,            0.015521,           0.0059055,             0.46283,                 0.5,             0.38998,             0.12694,            0.085116,           0.0075889,           0.0046561,           0.0079408,           0.0079408,           0.0079408
                 106,            0.084111,             0.01481,           0.0061235,             0.46283,                 0.5,             0.38998,             0.12694,            0.085116,           0.0075889,           0.0046561,            0.007921,            0.007921,            0.007921
                 107,            0.079275,            0.016094,           0.0061513,             0.49731,             0.63636,             0.54788,             0.18933,            0.074232,           0.0077305,           0.0045346,           0.0079012,           0.0079012,           0.0079012
                 108,            0.069317,            0.016298,           0.0057019,             0.49731,             0.63636,             0.54788,             0.18933,            0.074232,           0.0077305,           0.0045346,           0.0078814,           0.0078814,           0.0078814
                 109,            0.072219,            0.015019,           0.0058439,             0.49731,             0.63636,             0.54788,             0.18933,            0.074232,           0.0077305,           0.0045346,           0.0078616,           0.0078616,           0.0078616
